,from_author,to_author,year,times,author_x,from_author_node_attr,author_y,to_author_node_attr
4487,32053901,1912451809,2013,1,32053901,majority,1912451809,minority
4488,32053901,2112002542,2013,1,32053901,majority,2112002542,minority
5647,41595396,56327757,2014,1,41595396,majority,56327757,majority
5648,41595396,1591126234,2014,1,41595396,majority,1591126234,minority
5649,41595396,1912451809,2014,1,41595396,majority,1912451809,minority
5650,41595396,1967711289,2014,1,41595396,majority,1967711289,majority
5651,41595396,2096675187,2014,1,41595396,majority,2096675187,minority
5652,41595396,2111708304,2014,1,41595396,majority,2111708304,majority
5653,41595396,2111782228,2014,1,41595396,majority,2111782228,minority
5654,41595396,2112002542,2014,1,41595396,majority,2112002542,minority
5655,41595396,2120094704,2014,1,41595396,majority,2120094704,minority
5656,41595396,2121884963,2014,1,41595396,majority,2121884963,majority
5657,41595396,2125462828,2014,1,41595396,majority,2125462828,majority
5658,41595396,2136331769,2014,1,41595396,majority,2136331769,majority
5659,41595396,2147255737,2014,1,41595396,majority,2147255737,majority
5660,41595396,2168674890,2014,1,41595396,majority,2168674890,majority
5661,41595396,2178916044,2014,1,41595396,majority,2178916044,majority
5662,41595396,2252633060,2014,1,41595396,majority,2252633060,majority
5663,41595396,2337005930,2014,1,41595396,majority,2337005930,minority
5664,41595396,2557949081,2014,1,41595396,majority,2557949081,majority
5665,41595396,2597728224,2014,1,41595396,majority,2597728224,majority
5666,41595396,2799222587,2014,1,41595396,majority,2799222587,minority
5987,43326146,43326146,2009,1,43326146,majority,43326146,majority
5988,43326146,43326146,2012,3,43326146,majority,43326146,majority
5998,43326146,1376746005,2012,1,43326146,majority,1376746005,majority
5999,43326146,1912451809,2012,1,43326146,majority,1912451809,minority
6001,43326146,1964600927,2012,1,43326146,majority,1964600927,majority
6015,43326146,2111782228,2012,1,43326146,majority,2111782228,minority
6017,43326146,2120094704,2009,1,43326146,majority,2120094704,minority
6018,43326146,2120094704,2012,1,43326146,majority,2120094704,minority
6024,43326146,2141751611,2012,1,43326146,majority,2141751611,majority
6025,43326146,2144249687,2009,1,43326146,majority,2144249687,majority
6026,43326146,2144249687,2012,2,43326146,majority,2144249687,majority
6033,43326146,2156123980,2012,1,43326146,majority,2156123980,minority
6051,43326146,2337005930,2012,1,43326146,majority,2337005930,minority
7958,56327757,1591126234,2013,1,56327757,majority,1591126234,minority
7961,56327757,1912451809,2013,1,56327757,majority,1912451809,minority
7962,56327757,1912451809,2014,1,56327757,majority,1912451809,minority
7963,56327757,2071502217,2013,1,56327757,majority,2071502217,majority
7966,56327757,2111782228,2013,1,56327757,majority,2111782228,minority
7967,56327757,2111782228,2014,2,56327757,majority,2111782228,minority
7968,56327757,2120094704,2013,1,56327757,majority,2120094704,minority
7969,56327757,2120094704,2014,1,56327757,majority,2120094704,minority
7970,56327757,2125462828,2013,1,56327757,majority,2125462828,majority
7971,56327757,2125462828,2014,1,56327757,majority,2125462828,majority
7972,56327757,2147255737,2013,1,56327757,majority,2147255737,majority
7973,56327757,2147255737,2014,1,56327757,majority,2147255737,majority
7975,56327757,2168674890,2013,1,56327757,majority,2168674890,majority
7976,56327757,2168674890,2014,1,56327757,majority,2168674890,majority
7977,56327757,2172143840,2013,1,56327757,majority,2172143840,majority
7978,56327757,2172143840,2014,1,56327757,majority,2172143840,majority
7979,56327757,2178916044,2014,1,56327757,majority,2178916044,majority
7980,56327757,2233085770,2014,1,56327757,majority,2233085770,minority
7983,56327757,2337005930,2013,1,56327757,majority,2337005930,minority
7984,56327757,2337005930,2014,1,56327757,majority,2337005930,minority
7985,56327757,2557949081,2014,1,56327757,majority,2557949081,majority
8748,60985993,60985993,1994,1,60985993,minority,60985993,minority
8749,60985993,60985993,2004,1,60985993,minority,60985993,minority
8750,60985993,60985993,2006,1,60985993,minority,60985993,minority
8751,60985993,60985993,2012,1,60985993,minority,60985993,minority
8752,60985993,60985993,2016,1,60985993,minority,60985993,minority
8755,60985993,1964600927,2016,1,60985993,minority,1964600927,majority
8760,60985993,2041863746,2005,1,60985993,minority,2041863746,minority
8761,60985993,2042729121,2016,1,60985993,minority,2042729121,minority
8766,60985993,2102276336,1993,2,60985993,minority,2102276336,minority
8767,60985993,2102276336,2004,1,60985993,minority,2102276336,minority
8768,60985993,2102276336,2016,1,60985993,minority,2102276336,minority
8780,60985993,2146568738,2004,1,60985993,minority,2146568738,minority
8789,60985993,2253773494,2016,1,60985993,minority,2253773494,majority
10355,72120904,56327757,2014,1,72120904,majority,56327757,majority
10356,72120904,1591126234,2014,1,72120904,majority,1591126234,minority
10357,72120904,1912451809,2014,1,72120904,majority,1912451809,minority
10358,72120904,1967711289,2014,1,72120904,majority,1967711289,majority
10359,72120904,2096675187,2014,1,72120904,majority,2096675187,minority
10360,72120904,2111708304,2014,1,72120904,majority,2111708304,majority
10361,72120904,2111782228,2014,1,72120904,majority,2111782228,minority
10362,72120904,2112002542,2014,1,72120904,majority,2112002542,minority
10363,72120904,2120094704,2014,1,72120904,majority,2120094704,minority
10364,72120904,2121884963,2014,1,72120904,majority,2121884963,majority
10365,72120904,2125462828,2014,1,72120904,majority,2125462828,majority
10366,72120904,2136331769,2014,1,72120904,majority,2136331769,majority
10367,72120904,2147255737,2014,1,72120904,majority,2147255737,majority
10368,72120904,2168674890,2014,1,72120904,majority,2168674890,majority
10369,72120904,2178916044,2014,1,72120904,majority,2178916044,majority
10370,72120904,2252633060,2014,1,72120904,majority,2252633060,majority
10371,72120904,2337005930,2014,1,72120904,majority,2337005930,minority
10372,72120904,2557949081,2014,1,72120904,majority,2557949081,majority
10373,72120904,2597728224,2014,1,72120904,majority,2597728224,majority
10374,72120904,2799222587,2014,1,72120904,majority,2799222587,minority
12141,82759890,1964600927,2003,1,82759890,majority,1964600927,majority
12142,82759890,2096675187,2003,1,82759890,majority,2096675187,minority
12143,82759890,2111782228,2003,1,82759890,majority,2111782228,minority
12144,82759890,2253773494,2003,1,82759890,majority,2253773494,majority
19695,127619810,1912451809,2013,1,127619810,majority,1912451809,minority
19696,127619810,2112002542,2013,1,127619810,majority,2112002542,minority
22790,144573008,1912451809,2004,1,144573008,minority,1912451809,minority
22791,144573008,2111782228,2004,1,144573008,minority,2111782228,minority
22792,144573008,2172143840,2004,1,144573008,minority,2172143840,majority
23218,147601817,147601817,2011,1,147601817,majority,147601817,majority
23219,147601817,147601817,2016,1,147601817,majority,147601817,majority
23221,147601817,227627045,2016,1,147601817,majority,227627045,majority
23236,147601817,1912451809,2011,1,147601817,majority,1912451809,minority
23276,147601817,2111782228,2011,2,147601817,majority,2111782228,minority
23278,147601817,2120094704,2011,1,147601817,majority,2120094704,minority
23279,147601817,2121363881,2016,1,147601817,majority,2121363881,majority
23327,147601817,2337005930,2011,1,147601817,majority,2337005930,minority
26496,171652256,56327757,2014,1,171652256,majority,56327757,majority
26497,171652256,1591126234,2014,1,171652256,majority,1591126234,minority
26500,171652256,1912451809,2014,2,171652256,majority,1912451809,minority
26501,171652256,1967711289,2014,1,171652256,majority,1967711289,majority
26503,171652256,2096675187,2014,1,171652256,majority,2096675187,minority
26504,171652256,2111708304,2014,1,171652256,majority,2111708304,majority
26505,171652256,2111782228,2014,3,171652256,majority,2111782228,minority
26506,171652256,2112002542,2014,1,171652256,majority,2112002542,minority
26507,171652256,2120094704,2014,2,171652256,majority,2120094704,minority
26508,171652256,2121884963,2014,1,171652256,majority,2121884963,majority
26509,171652256,2125462828,2014,2,171652256,majority,2125462828,majority
26510,171652256,2136331769,2014,1,171652256,majority,2136331769,majority
26511,171652256,2147255737,2014,2,171652256,majority,2147255737,majority
26513,171652256,2168674890,2014,2,171652256,majority,2168674890,majority
26514,171652256,2172143840,2014,1,171652256,majority,2172143840,majority
26515,171652256,2178916044,2014,2,171652256,majority,2178916044,majority
26516,171652256,2233085770,2014,1,171652256,majority,2233085770,minority
26517,171652256,2252633060,2014,1,171652256,majority,2252633060,majority
26518,171652256,2337005930,2014,2,171652256,majority,2337005930,minority
26519,171652256,2557949081,2014,2,171652256,majority,2557949081,majority
26521,171652256,2597728224,2014,1,171652256,majority,2597728224,majority
26522,171652256,2799222587,2014,1,171652256,majority,2799222587,minority
30839,196730593,196730593,2009,1,196730593,majority,196730593,majority
30844,196730593,1376746005,2016,1,196730593,majority,1376746005,majority
30851,196730593,1912451809,2009,1,196730593,majority,1912451809,minority
30858,196730593,1989569716,2016,1,196730593,majority,1989569716,minority
30862,196730593,2041863746,2009,5,196730593,majority,2041863746,minority
30900,196730593,2419756848,2009,1,196730593,majority,2419756848,majority
36054,227627045,227627045,2008,1,227627045,majority,227627045,majority
36056,227627045,1912451809,2008,1,227627045,majority,1912451809,minority
36058,227627045,2111782228,2008,1,227627045,majority,2111782228,minority
46874,293804883,293804883,2017,1,293804883,majority,293804883,majority
46882,293804883,1912451809,2017,1,293804883,majority,1912451809,minority
46890,293804883,2111782228,2017,1,293804883,majority,2111782228,minority
49982,316925404,316925404,2002,1,316925404,majority,316925404,majority
49983,316925404,316925404,2008,1,316925404,majority,316925404,majority
49984,316925404,316925404,2011,1,316925404,majority,316925404,majority
49991,316925404,1912451809,2011,1,316925404,majority,1912451809,minority
50006,316925404,2041863746,2011,1,316925404,majority,2041863746,minority
50007,316925404,2071502217,2011,1,316925404,majority,2071502217,majority
50012,316925404,2111782228,2011,1,316925404,majority,2111782228,minority
57857,418875257,1912451809,2018,1,418875257,majority,1912451809,minority
57859,418875257,2111782228,2018,2,418875257,majority,2111782228,minority
57862,418875257,2120094704,2018,1,418875257,majority,2120094704,minority
57866,418875257,2337005930,2018,1,418875257,majority,2337005930,minority
61822,634975034,1912451809,2016,1,634975034,minority,1912451809,minority
61824,634975034,2017384069,2016,1,634975034,minority,2017384069,majority
61826,634975034,2098470719,2016,1,634975034,minority,2098470719,minority
61828,634975034,2112002542,2016,1,634975034,minority,2112002542,minority
61836,634975034,2612555596,2016,1,634975034,minority,2612555596,minority
62794,664354634,1912451809,2009,2,664354634,majority,1912451809,minority
62795,664354634,1964600927,2009,1,664354634,majority,1964600927,majority
62797,664354634,2017538498,2009,2,664354634,majority,2017538498,minority
62806,664354634,2111782228,2009,4,664354634,majority,2111782228,minority
62808,664354634,2120094704,2009,1,664354634,majority,2120094704,minority
62810,664354634,2135122811,2009,1,664354634,majority,2135122811,minority
62816,664354634,2337005930,2009,1,664354634,majority,2337005930,minority
62817,664354634,2342740520,2009,1,664354634,majority,2342740520,minority
66025,704778929,1912451809,2006,1,704778929,majority,1912451809,minority
66029,704778929,2017538498,2006,1,704778929,majority,2017538498,minority
66035,704778929,2111782228,2006,2,704778929,majority,2111782228,minority
66052,704778929,2172143840,2006,1,704778929,majority,2172143840,majority
66054,704778929,2193251817,2008,1,704778929,majority,2193251817,majority
69241,743873671,743873671,2006,1,743873671,majority,743873671,majority
69242,743873671,743873671,2009,1,743873671,majority,743873671,majority
69245,743873671,1912451809,2005,1,743873671,majority,1912451809,minority
69252,743873671,2041863746,2005,1,743873671,majority,2041863746,minority
69253,743873671,2041863746,2006,3,743873671,majority,2041863746,minority
69259,743873671,2071502217,2009,1,743873671,majority,2071502217,majority
69275,743873671,2135405657,2005,1,743873671,majority,2135405657,minority
69276,743873671,2135405657,2006,1,743873671,majority,2135405657,minority
69278,743873671,2140423565,2006,1,743873671,majority,2140423565,majority
69279,743873671,2140423565,2009,1,743873671,majority,2140423565,majority
69290,743873671,2233085770,2006,2,743873671,majority,2233085770,minority
69293,743873671,2303827610,2006,1,743873671,majority,2303827610,majority
75207,1160122508,60985993,2008,1,1160122508,majority,60985993,minority
75209,1160122508,1912451809,2008,1,1160122508,majority,1912451809,minority
75212,1160122508,2111782228,2008,1,1160122508,majority,2111782228,minority
80130,1259714325,1259714325,2014,1,1259714325,majority,1259714325,majority
80132,1259714325,1912451809,2014,1,1259714325,majority,1912451809,minority
80134,1259714325,2111782228,2014,1,1259714325,majority,2111782228,minority
83009,1376746005,60985993,2015,5,1376746005,majority,60985993,minority
83010,1376746005,60985993,2017,1,1376746005,majority,60985993,minority
83031,1376746005,1376746005,1998,1,1376746005,majority,1376746005,majority
83032,1376746005,1376746005,1999,1,1376746005,majority,1376746005,majority
83033,1376746005,1376746005,2000,1,1376746005,majority,1376746005,majority
83034,1376746005,1376746005,2001,2,1376746005,majority,1376746005,majority
83035,1376746005,1376746005,2003,3,1376746005,majority,1376746005,majority
83036,1376746005,1376746005,2011,1,1376746005,majority,1376746005,majority
